# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,6.5,2.0,-0.2317481880987945,0,3.0,-0.7187434590646848,0.0,0.0,0.0
 0.08882779692466669,6.511835469444014,1.9999521279999999,-0.2317481880987945,0.266483390774,2.9999999999999996,-0.7187434590646848,0.0,-13.380273594929227,0.0
 0.1247523848113966,6.5233437497528595,1.999809024,-0.712429002808321,0.3742571544341898,3.0000000000000013,-0.7758785215502113,0.0,-18.70210508977065,0.0
 0.15172597741574056,6.534527648891739,1.999571456,-1.2168919663434223,0.45517793224722164,2.9999999999999987,-0.8387077463657193,0.0,-23.821422238383185,0.0
 0.17397036971289564,6.545389974825861,1.999240192,-1.746785027690192,0.5219111091386869,3.0,-0.907908165433581,0.0,-29.07275788313025,0.0
 0.19313315729034217,6.555933535520425,1.9988160000000001,-2.303900111295151,0.5793994718710265,3.0000000000000013,-0.9842486393857204,0.0,-34.6253611950019,0.0
 0.2100654724869453,6.56616113894064,1.9982996480000002,-2.8901876408451534,0.6301964174608359,3.0000000000000018,-1.0686033929693706,0.0,-40.600873496137105,0.0
 0.22527659699040883,6.576075593051708,1.997691904,-3.5077725825442685,0.6758297909712265,3.0000000000000018,-1.1619675684930488,0.0,-47.10576072812423,0.0
 0.2391007989850944,6.585679705818833,1.9969935360000002,-4.158972133963184,0.7173023969552832,2.999999999999998,-1.2654750531609509,0.0,-54.24443238035675,0.0
 0.25177201727166876,6.5949762852072205,1.996205312,-4.846315177486007,0.7553160518150063,3.0,-1.3804188390823384,0.0,-62.12613579611645,0.0
 0.2634619190177296,6.603968139182077,1.995328,-5.572563600805041,0.7903857570531887,2.999999999999995,-1.5082741618427058,0.0,-70.86947525777416,0.0
 0.27430116896530354,6.612658075708603,1.994362368,-6.340735556777463,0.8229035068959105,2.9999999999999947,-1.6507246193698155,0.0,-80.60597181317759,0.0
 0.28439217227366087,6.621048902752006,1.993309184,-7.154130685017596,0.8531765168209825,3.0,-1.8096913864818895,0.0,-91.48326760229301,0.0
 0.2938171368385114,6.629143428277487,1.992169216,-8.016357240445947,0.8814514105155341,3.0,-1.9873654825391747,0.0,-103.45836789429299,0.0
 0.302661309973703,6.636944460250255,1.990943232,-8.93136095838742,0.9043074210045161,2.584301566648025,-2.18624279245917,0.0,-113.66836697929446,0.0
 0.3112133318370038,6.644454806635512,1.9896319999999998,-9.903455317960043,0.8786513554146138,-2.9999999999999933,-2.4091611325091495,0.0,-121.70329938512816,0.0
 0.31970856009777815,6.6516772753984625,1.988236288,-10.937352626326069,0.8531656706322907,-3.0000000000000067,-2.6593380325100253,0.0,-130.4404570952005,0.0
 0.3281479845708027,6.658614674504311,1.986756864,-12.03819501220781,0.8278473972132171,-2.9999999999999933,-2.940406983182603,0.0,-139.93839576103395,0.0
 0.336533023845828,6.665269811918264,1.9851944959999999,-13.211583956748116,0.8026922793881411,-3.0,-3.2564485655992983,0.0,-150.25591112807368,0.0
 0.3448656238795093,6.671645495605522,1.983549952,-14.463606366874718,0.7776944792870972,-3.0,-3.612010992661857,0.0,-161.44966552732188,0.0
 0.3531483787225536,6.677744533531293,1.981824,-15.800854365929029,0.7528462147579642,-3.0000000000000133,-4.012111996258322,0.0,-173.57072128790423,0.0
 0.3613846786877256,6.6835697336607796,1.980017408,-17.23043489162747,0.7281373148624481,-3.0000000000000067,-4.462210519679211,0.0,-186.65962505144367,0.0
 0.36957889269245375,6.689123903959187,1.978130944,-18.759963805341314,0.7035546728482637,-3.0000000000000067,-4.968132207328031,0.0,-200.73961417687136,0.0
 0.3777365933986354,6.694409852391719,1.976165376,-20.397537497670612,0.6790815707297186,-3.0000000000000067,-5.535927227793594,0.0,-215.80745624022546,0.0
 0.3858648363138969,6.6994303869235825,1.974121472,-22.151672924915825,0.6546968419839341,-3.0000000000000138,-6.171632819701133,0.0,-231.8214111365971,0.0
 0.39397250750951424,6.704188315519978,1.972,-24.031204702515378,0.630373828397082,-3.0000000000000067,-6.880906935222358,0.0,-248.68586505900393,0.0
 0.40207075952309723,6.708686446146114,1.969801728,-26.04512550997909,0.6060790723563331,-2.9999999999999933,-7.66849519040868,0.0,-266.23239121048954,0.0
 0.4101735621239947,6.712927586767191,1.9675274239999998,-28.20235402192259,0.5817706645536407,-3.0,-8.537494043619958,0.0,-284.19742982912504,0.0
 0.41829840523598133,6.716914545348418,1.965177856,-30.511413552114064,0.5573961352176808,-2.9999999999999933,-9.488383463443265,0.0,-302.1975494087131,0.0
 0.4264672077120225,6.720650129854995,1.962753792,-32.98000564197754,0.5328897277895572,-3.0000000000000067,-10.517828744516509,0.0,-319.70443049003546,0.0
 0.43470751192192336,6.7241371482521295,1.960256,-35.61446740646853,0.5081688151598547,-3.0,-11.617300799833403,0.0,-336.5422633578658,0.0
 0.4430412169166763,6.727378408505025,1.957685248,-38.419111347559436,0.48466008504101943,-2.820921802924004,-12.771642293271807,0.0,-353.07362354532046,0.0
 0.4514710505608797,6.730376718578886,1.955042304,-41.39546325820259,0.46360911798202636,-2.4971983964912874,-13.957811120734505,0.0,-369.3628395732432,0.0
 0.4599883539681294,6.733134886438917,1.9523279359999999,-44.541438630211196,0.4450801631193053,-2.1754484931169267,-15.14414564293801,0.0,-385.05074188167396,0.0
 0.468582262364367,6.735655720050323,1.9495429119999999,-47.85052943384563,0.4291334557868975,-1.8555826519385878,-16.29057849123789,0.0,-399.72525509709135,0.0
 0.47723965162363313,6.737942027378306,1.946688,-51.3111065639806,0.4158226761848917,-1.5375050379950355,-17.350217220017928,0.0,-412.9389472207284,0.0
 0.48594520735802865,6.7399966163880745,1.9437639679999998,-54.905969583913254,0.40519221462241334,-1.22111234329103,-18.27254626991508,0.0,-424.23636532904374,0.0
 0.49468164004589926,6.741822295044829,1.940771584,-58.61228203335733,0.3972744487269993,-0.9062927831409747,-19.008155990328397,0.0,-433.18967733649833,0.0
 0.503430054778432,6.743421871313778,1.9377116159999999,-62.40200498854903,0.39208729163102796,-0.5929253761463646,-19.514423350704377,0.0,-439.4385806078565,0.0
 0.5121704633784108,6.744798153160122,1.9345848319999999,-66.24287773765643,0.3896322889060933,-0.28087962900734414,-19.76111179815658,0.0,-442.7281998219418,0.0
 0.5208824037370429,6.74595394854907,1.9313919999999998,-70.09989940958974,0.3898935103971588,0.029984306631148167,-19.734641504500765,0.0,-442.9377886608484,0.0
 0.5295456118015683,6.746892065445821,1.9281338879999999,-73.9371616323995,0.3928373997641914,0.3398151522052651,-19.43997039691762,0.0,-440.09419375130125,0.0
 0.5381406812212802,6.747615311815584,1.924811264,-77.71980177890406,0.39841362224992793,0.6487699183613395,-18.899612356020555,0.0,-434.3671720680321,0.0
 0.5466496474458047,6.74812649562356,1.9214248959999998,-81.41581737507315,0.4065568183411607,0.9570135638525066,-18.150088907028767,0.0,-426.0477873606918,0.0
 0.5550564466111503,6.748428424834957,1.917975552,-84.99751555825434,0.4171890579489189,1.264719115877814,-17.236752126792126,0.0,-415.5147715597618,0.0
 0.5633472208853822,6.7485239074149765,1.914464,-88.4424547368654,0.430222722170638,1.572068396823707,-16.2081917882357,0.0,-403.1956972325991,0.0
 0.5715104652830632,6.748415751328825,1.910891008,-91.73383975346844,0.4455635260167556,1.879253284450941,-15.111305667804947,0.0,-389.5296709142625,0.0
 0.579537030894795,6.748106764541706,1.9072573439999998,-94.8604252147781,0.4631134303037674,2.186477397177235,-13.987706248861441,0.0,-374.93649589072896,0.0
 0.5874200126692971,6.7475997550188245,1.903563776,-97.81604277848041,0.4827732557382554,2.4939579967162615,-12.871668546712758,0.0,-359.79480651676664,0.0
